[name],[definition]
Cross-Domain Learning to Hash (CDLH),"CDLH (Cross-Domain Learning to Hash) is a machine learning method that learns compact binary hash codes from high-dimensional data to enable efficient and effective similarity search across different domains, preserving semantic relationships between instances."
CycleGAN,"CycleGAN (Cycle-Consistent Generative Adversarial Network) is a machine learning method that learns to translate images from one domain to another without paired training data, by leveraging a cycle-consistency loss to ensure consistency between the translated images and the original images."
Bagged Model,"A bagged model, also known as bootstrap aggregating, is an ensemble learning method that combines multiple models trained on different bootstrap samples of the training data, aiming to reduce variance and improve predictive performance."
Bayesian Generalized Linear Model (BGLM),"Bayesian Generalized Linear Model (BGLM) is a machine learning method that incorporates Bayesian inference principles to estimate parameters and make predictions in a generalized linear model setting, providing a probabilistic framework to quantify uncertainty."
Boosted Linear Model,"Boosted Linear Model is an ensemble learning method that combines multiple linear models in a sequential manner, where each subsequent model is trained to correct the mistakes made by the previous models, resulting in a strong predictive model."
Generalized Linear Model with Stepwise Feature Selection,"Generalized Linear Model with Stepwise Feature Selection is a machine learning method that fits a generalized linear model while iteratively selecting and adding/removing features based on statistical criteria (e.g., p-values), aiming to find the most relevant subset of features for the model."
Multi Polynomial Regression (MPR),"Multi Polynomial Regression (MPR) is a machine learning method that extends the traditional polynomial regression by considering multiple independent variables and fitting a polynomial function to the data, allowing for capturing complex non-linear relationships between the predictors and the target variable."
Regression Tree (RT),"Regression Tree (RT) is a machine learning method that builds a tree-like model for regression tasks, where each internal node represents a splitting condition on a feature, and each leaf node corresponds to a predicted value based on the feature values of the input data, enabling the modeling of non-linear relationships between predictors and the target variable."
Dynamic Artificial Neural Network (DANN),DANN is a machine learning method that adapts the structure and parameters of an artificial neural network dynamically during training to improve performance and adaptability.
Hybrid Machine Learning (HML),"HML refers to the combination of different machine learning techniques, such as combining supervised and unsupervised learning algorithms, to leverage the strengths of each approach for more accurate and robust predictions or classifications."
SARSA,SARSA (State-Action-Reward-State-Action) is a reinforcement learning algorithm that uses a table or function approximation to learn the optimal policy by estimating the Q-values of state-action pairs based on the observed rewards and subsequent state-action pairs.
C5.0,C5.0 is a machine learning algorithm that utilizes decision trees and an entropy-based splitting criterion to perform classification tasks with high accuracy and interpretability.
RPART,"RPART (Recursive Partitioning) is a decision tree algorithm that recursively splits the dataset based on predictors and their values to create a tree structure, enabling predictive modeling and data classification."
Multi SVM Bayesian Network,Multi-SVM Bayesian Network combines Support Vector Machines (SVM) and Bayesian networks to model complex relationships and make predictions in a multi-class classification setting.
LMT,LMT (Logistic Model Tree) is a machine learning algorithm that combines decision trees and logistic regression to create an interpretable model for classification tasks.
RLSTM,RLSTM (Recurrent Long Short-Term Memory) is a variant of the LSTM architecture that incorporates reinforcement learning techniques to enhance the training and performance of recurrent neural networks.
Multiresolution CNN,"Multiresolution CNN refers to a convolutional neural network that processes input data at multiple resolutions, allowing for the extraction of features at different levels of detail."
Two-Stream CNN,"Two-stream CNN is an architecture that uses two parallel streams, one for spatial information (RGB images) and another for motion information (optical flow), to improve action recognition in videos."
Adaptive RNN-CNN,"Adaptive RNN-CNN combines Recurrent Neural Networks (RNN) and Convolutional Neural Networks (CNN) in an adaptive manner, dynamically adjusting the architecture based on the input data for better performance."
Ordered Trajectories,"Ordered trajectories are sequential patterns that describe the spatiotemporal movement of objects, commonly used in trajectory analysis and prediction tasks in machine learning."
Temporal Pyramid CNN,Temporal Pyramid CNN utilizes a multi-scale approach to capture temporal information in videos by hierarchically aggregating features across different time scales.
DB-LSTM,"DB-LSTM (Depth-Based Long Short-Term Memory) is a variant of LSTM that incorporates depth information, such as RGB-D data, to enhance the modeling capabilities of the network for tasks involving depth perception."
Finite State Machine,"A finite state machine is a computational model used in machine learning and other fields to represent systems with a finite number of states and transitions between them, allowing for the modeling of sequential behavior and decision-making processes."
Forwarding Neural Network,"A forwarding neural network refers to a type of neural network architecture where the input signals are passed directly to the output without undergoing any transformation, allowing for direct connections and faster information flow."
Deep Conventional Extreme Machine Learning (DC-EML),Deep conventional extreme machine learning (DC-EML) combines deep learning techniques with extreme learning machines (ELM) to leverage the strengths of both methods in terms of feature learning and fast training.
Seasonal ARIMA (SARIMA),"SARIMA (Seasonal AutoRegressive Integrated Moving Average) is a time series forecasting method that combines autoregressive, moving average, and seasonal components to model and predict future values based on historical patterns."
Randomly Occurring Distributedly Delayed PSO (RODDPSO),Randomly Occurring Distributedly Delayed PSO (RODDPSO) is a variant of Particle Swarm Optimization (PSO) algorithm that introduces random delays in updating the particle positions to improve exploration and convergence properties for solving optimization problems.
Extremal Optimization (EO),"Extremal Optimization (EO) is a metaheuristic optimization algorithm inspired by statistical physics principles, where the search process is driven by identifying and focusing on extreme solutions to enhance exploration of the solution space."
Grey Wolf Optimization (GWO),"Grey Wolf Optimization (GWO) is a metaheuristic algorithm inspired by the social behavior of grey wolves, where individuals mimic the hunting and leadership hierarchy to search for optimal solutions in optimization problems."
Binary Grey Wolf Optimization (bGWO),"Binary Grey Wolf Optimization (bGWO) is a variant of GWO specifically designed for binary optimization problems, where the search is performed in a binary solution space rather than a continuous one."
Quadratic Discriminant Classifier (QDC),"Quadratic Discriminant (QDC) is a classification algorithm that assumes each class follows a multivariate Gaussian distribution with its own covariance matrix, and it makes predictions by estimating the likelihood of a sample belonging to each class."
Support Vector Classifier (SVC),Support Vector Classifier (SVC) is a supervised learning algorithm that uses support vector machines to separate data into different classes by finding the optimal hyperplane that maximizes the margin between the classes.
Voting Classifier,"Voting Classifier is an ensemble method that combines multiple individual classifiers and makes predictions based on the majority vote or weighted vote of the classifiers, resulting in improved overall performance and robustness."
Robust Principal Component Analysis (RPCA),"RPCA (Robust Principal Component Analysis) is a matrix factorization technique used in machine learning to decompose a given data matrix into a low-rank matrix representing the underlying structure and a sparse matrix capturing the noise or outliers, enabling the separation of the signal from the noise for various applications such as image and video processing."
Non-Linear SVM,"Non-linear SVM (Support Vector Machine) is a machine learning algorithm that uses kernel functions to transform the input data into a higher-dimensional space, allowing for the creation of non-linear decision boundaries for classification tasks."
Adaptive Heuristic,Adaptive Heuristic refers to a problem-solving approach in machine learning that uses a dynamic and learning-based strategy to adaptively adjust the search or optimization process based on the problem's characteristics and available information.
State-Action-Reward,"State-Action-Reward (SAR) is a representation used in reinforcement learning to describe the interaction between an agent and its environment, where the agent observes the current state, takes an action, and receives a reward signal based on its action and resulting state transition."
Linear SVM,"Linear SVM (Support Vector Machine) is a machine learning algorithm that uses a linear decision boundary to separate data points belonging to different classes, making it suitable for linearly separable datasets."
Kernel-Based SVM,"Kernel-based SVM (Support Vector Machine) is an extension of the linear SVM algorithm that applies a non-linear transformation to the input data using kernel functions, enabling the learning of non-linear decision boundaries in higher-dimensional feature spaces."
Wavelet Transform Neural Network (WTNN),"Wavelet Transform Neural Network (WTNN) is a machine learning model that combines wavelet transform and neural networks to analyze and process data in both the time and frequency domains, enabling effective feature extraction and representation."
Ridge Regression,"Ridge regression is a regression technique that adds a regularization term to the ordinary least squares method, aiming to minimize the sum of squared errors while also penalizing large coefficients, thereby reducing overfitting and improving generalization performance."
Dynamic Recurrent Neural Networks (DRNN),"Dynamic Recurrent Neural Networks (DRNN) are a type of recurrent neural network architecture that can dynamically change the network structure or update the parameters during the learning process, allowing for flexibility in capturing temporal dependencies and adapting to varying input sequences."
Deep Sparse Autoencoder (DSAE),"Deep Sparse Autoencoder (DSAE) is a type of artificial neural network architecture that uses unsupervised learning to learn efficient representations of input data by training multiple layers of sparse autoencoders, allowing for hierarchical feature extraction and dimensionality reduction."
Wilkes Stonham and Aleksander Recognition Device (WiSARD),"Wilkes Stonham and Aleksander Recognition Device (WiSARD) is a pattern recognition system that uses random projections and binary feature encoding to classify input patterns, employing a content-addressable memory structure for fast and efficient retrieval of stored patterns."
Online Sequential Extreme Learning Machine (OSELM),"Online Sequential Extreme Learning Machine (OSELM) is a machine learning algorithm that incrementally learns and updates a single-hidden-layer feedforward neural network, enabling efficient and fast training on streaming data with fixed computational complexity."
Feature Adaptive OSELM (FA-OSELM),"Feature Adaptive OSELM (FA-OSELM) is an extension of OSELM that dynamically adjusts the network's hidden nodes and connections based on the importance of input features, enhancing the model's adaptability and robustness in handling high-dimensional data."
Knowledge Preserving OSELM (KP-OSELM),"Knowledge Preserving OSELM (KP-OSELM) is an OSELM variant that incorporates knowledge transfer techniques, such as feature mapping and model compression, to transfer knowledge from pre-trained models or related tasks, improving the learning efficiency and generalization capability."
Infinite Term Memory OSELM (ITM-OSELM),"Infinite Term Memory OSELM (ITM-OSELM) is an OSELM enhancement that introduces a memory mechanism to store and reuse past data, allowing the model to retain and recall information from earlier observations, leading to improved performance in tasks with non-stationary data."
Generalized Autoregressive Conditional Heteroskedasticity (GARCH),"Generalized Autoregressive Conditional Heteroscedasticity (GARCH) is a time series modeling technique used in econometrics and finance to capture the volatility clustering and time-varying variance of financial data, incorporating lagged conditional variances into the model."
Multifilter Neural Network (MFNN),"Multifilter Neural Network (MFNN) is a neural network architecture designed for time series forecasting, where multiple filters are applied to the input data to capture different temporal patterns, enabling the model to learn and exploit various time dependencies simultaneously."
Autoregressive Fractional Integrated Moving Average (ARFIMA),"Autoregressive Fractional Integrated Moving Average (ARFIMA) is a time series modeling approach that combines autoregressive (AR) and moving average (MA) components with fractional differencing to handle data exhibiting long-term dependencies and nonstationary behavior, allowing for accurate modeling and prediction of persistent time series."
Linear SVC,"Linear SVC (Support Vector Classifier) is a variant of the Support Vector Machine (SVM) algorithm that uses a linear decision boundary to classify data points into different classes, making it suitable for linearly separable datasets."
ID3,"ID3 (Iterative Dichotomiser 3) is a decision tree algorithm that uses information gain as a criterion to recursively split the dataset based on the attribute that provides the most significant reduction in uncertainty, leading to the creation of a decision tree for classification or regression tasks."
CHAID,"CHAID (Chi-squared Automatic Interaction Detection) is a decision tree algorithm that uses chi-squared tests to determine the statistically significant relationships between predictor variables and the target variable, allowing for the creation of a decision tree that captures the interactions and dependencies among variables."
Gradient Boosting Regression Tree (GBRT),"Gradient Boosting Regression Tree is a machine learning algorithm that combines multiple decision trees in a sequential manner, where each subsequent tree corrects the errors made by the previous ones, ultimately creating a strong predictive model for regression tasks."
Auto-Associative Kernel Regression (AAKR),"Auto Associative Kernel Regression (AAKR) is a machine learning method that combines auto-associative neural networks with kernel regression to learn non-linear mappings between input and output variables, enabling accurate prediction and reconstruction of data."
Exponential Radial Basis Function,"Exponential Radial Basis Function is a type of kernel function commonly used in machine learning, particularly in support vector machines (SVMs), to measure the similarity between data points in a high-dimensional feature space, where the similarity decreases exponentially with the distance between points."
Ridge Classifier,"Ridge Classifier is a machine learning algorithm that is an extension of the linear support vector machine (SVM), incorporating a regularization term (ridge penalty) to handle multicollinearity and improve the stability of the model, making it suitable for binary classification tasks."
LightGBM,"gradient-based one side sampling (GOSS) and exclusive feature bundling (EFB). GOSS is a technique in LightGBM that focuses on under-trained instances during the training process, providing substantial information gain and improving the overall efficiency of the model. EFB leverages the sparsity of high-dimensional feature spaces to select bundles of mutually exclusive features, leading to reduced memory complexity and faster training times. These components contribute to the efficiency and performance of LightGBM as an open-source gradient boosting framework."
K-Star,"K-Star is a machine learning algorithm that utilizes the k-nearest neighbors approach to classify instances based on their similarity to labeled examples, but instead of assigning class labels, it computes the mode of class attribute values, making it suitable for multi-class classification tasks."
Local Nearest Neighbor (LNN),"Local Nearest Neighbor (LNN) is a machine learning method that considers the local neighborhood of instances when making predictions, by assigning higher weights to nearby neighbors and lower weights to distant neighbors, allowing for more localized and adaptive classification."
Bayesian Extreme Learning Machine (BELM),"Bayesian Extreme Learning Machine (BELM) is a variant of the Extreme Learning Machine (ELM) algorithm that incorporates Bayesian regularization techniques to improve the generalization and robustness of the model, making it suitable for regression and classification tasks with a high degree of uncertainty and noise in the data."
Elastic Net,"Elastic Net is a machine learning method that combines both L1 (Lasso) and L2 (Ridge) regularization techniques to achieve a balance between feature selection and regularization, making it effective for handling high-dimensional datasets and identifying relevant features while mitigating the impact of multicollinearity."
Hierarchical Attention Network (HAN),"HAN (Hierarchical Attention Network) is a machine learning model designed for text classification tasks, which incorporates hierarchical attention mechanisms to capture the importance of words and sentences in a document."
Convolutional Hierarchical Attention Network (Conv-HAN),Conv-HAN (Convolutional Hierarchical Attention Network) is an extension of HAN that incorporates convolutional neural networks (CNNs) for capturing local text features along with the hierarchical attention mechanism for capturing global semantic information.
RoBERTa,"RoBERTa is a state-of-the-art language model based on the Transformer architecture, pre-trained on a large corpus of text data, and used for various natural language processing tasks such as text classification, named entity recognition, and sentiment analysis."
DistilBERT,"DistilBERT is a compact version of the BERT (Bidirectional Encoder Representations from Transformers) model, achieved by distillation techniques, offering a smaller and faster alternative while maintaining competitive performance on various natural language understanding tasks."
ELECTRA,"ELECTRA (Efficiently Learning an Encoder that Classifies Token Replacements Accurately) is a pre-training method for language models that introduces a generator-discriminator framework, enabling the model to effectively learn from masked input tokens while avoiding the need for expensive masked language modeling."
ELMo,"ELMo (Embeddings from Language Models) is a deep contextualized word representation model that generates word embeddings based on the context in which the words appear, allowing for better capturing of word meaning and semantic relationships in natural language processing tasks."
Multivariate Discriminant Analysis (MDA),"Multivariate Discriminant Analysis (MDA) is a statistical technique used in machine learning to analyze and classify data with multiple input variables, aiming to maximize the separation between different classes by estimating the discriminant functions and applying them to new observations."
Stacking Classifier,"Stacking Classifier is an ensemble learning method that combines multiple base classifiers by training a meta-classifier on their predictions, allowing the model to benefit from the diverse predictions of the base classifiers and potentially improve overall performance on classification tasks."
Weighted Random Forest (WRF),"Weighted Random Forest (WRF) is a variant of the Random Forest algorithm that assigns different weights to individual samples during the training process, allowing for a more accurate representation of the minority class or addressing class imbalance issues."
Weighted SVM (WSVM),"Weighted SVM (WSVM) is a variation of the Support Vector Machine (SVM) algorithm that assigns different weights to training samples, emphasizing the importance of certain instances or correcting for class imbalance, improving the model's ability to learn and classify data accurately."
Maximum Entropy Markov Model,"Maximum Entropy Markov Model (MEMM) is a probabilistic sequence labeling model that combines the principles of maximum entropy and Markov models to assign labels to sequential data, taking into account the current input and previous predictions."
Conditional Random Field (CRF),"Conditional Random Field (CRF) is a type of graphical model used for sequence labeling tasks, where the conditional probability of label assignments is modeled based on the observed input sequence, capturing dependencies between neighboring labels and achieving better performance in tasks like named entity recognition or part-of-speech tagging."
Trigrams’n’Tags (TnT),"Trigrams'n'Tags (TnT) is a statistical sequence labeling algorithm that uses a trigram hidden Markov model, incorporating linguistic features and tag contexts to assign tags to words, commonly applied in part-of-speech tagging tasks to predict the grammatical category of words in a sentence."
Averaged Perceptron,"Averaged Perceptron is a linear classification algorithm that iteratively updates the weights of a perceptron based on misclassified examples, and then combines the weights of multiple iterations to improve the final model's performance."
Augmented Naïve Bayes,"Augmented Naïve Bayes is an extension of the Naïve Bayes algorithm that incorporates additional features or feature interactions to address the independence assumption of the original Naïve Bayes, allowing for more flexible and accurate probabilistic classification."
Label Propagation Graphs,"Label Propagation Graphs is a semi-supervised learning method that propagates labeled information through a graph structure, leveraging the similarity between data points to assign labels to unlabeled instances, enabling the model to make predictions on a larger dataset."
Co-Trained Random Forest,"Co-trained Random Forest is an ensemble learning technique where multiple random forest models are trained on different subsets of features or data, and their predictions are combined to produce the final prediction, enhancing the model's performance by leveraging the diversity of multiple models."
Bi-Directional Gated Recurrent Unit,"Bi-directional Gated Recurrent Unit (GRU) is a type of recurrent neural network (RNN) architecture that processes input sequences in both forward and backward directions, allowing the model to capture contextual information from past and future timesteps, and commonly used for tasks like sequence classification or machine translation."
Concatenated Convolutional Neural Network,"Concatenated Convolutional Neural Network (CNN) is a neural network architecture that applies convolutional operations to input data, followed by concatenation of the extracted features, enabling the model to capture both local and global patterns in the data, commonly used for tasks like image classification or text classification."
Gated Graph Neural Network,"Gated Graph Neural Network is a neural network model specifically designed for graph-structured data, where information is exchanged between nodes through gated mechanisms, allowing the model to capture and aggregate information from the neighborhood of each node, enabling tasks like node classification or graph classification."
Directed Graph Convolutional Neural Network,"Directed Graph Convolutional Neural Network is a neural network model designed for graph-structured data with directed edges, where graph convolutions are applied to capture the dependencies between nodes and their respective neighbors, enabling tasks like link prediction or traffic flow prediction in directed graphs."
Self-Taught Learning,"Self-taught learning is a machine learning method where an algorithm learns from unlabeled data to construct a feature representation or pre-train a model, which is then fine-tuned using labeled data to perform a specific task, allowing the model to leverage a larger amount of unlabeled data to improve its performance."
OneR,OneR is a simple and interpretable rule-based classification algorithm that selects a single feature as the predictor and determines the class label based on the most frequent outcome for each value of the selected feature.
ZeroR,"ZeroR is a basic baseline algorithm that assigns the most frequent class label in the training data as the predicted label for all instances, providing a simple benchmark for comparison with other classification algorithms."
Lasso Logistic Regression,"Lasso Logistic Regression is a variant of logistic regression that incorporates L1 regularization, encouraging sparsity in the learned model by shrinking some coefficients to zero, which can effectively perform feature selection and enhance model interpretability."
Pre-Trained Neural Network (PTNN),"A pre-trained neural network (PTNN) refers to a neural network model that has been trained on a large dataset or a specific task and is made available for use in other applications, allowing users to leverage the learned features or weights to perform tasks such as feature extraction, transfer learning, or fine-tuning on new datasets."
QT-Clustering,"QT-clustering is a clustering algorithm that partitions data points into groups based on their similarity, utilizing a quadtree structure to efficiently handle large datasets."
Chameleon,Chameleon is a density-based clustering algorithm that dynamically adapts the neighborhood density threshold to effectively handle clusters with varying densities.
Competitive Swarm Optimization (CSO),"CSO (Cuckoo Search Optimization) is a metaheuristic optimization algorithm inspired by the behavior of cuckoo birds in finding the best nesting locations, commonly used for solving optimization problems."
Probabilistic Latent Semantic Analysis (PLSA),"PLSA (Probabilistic Latent Semantic Analysis) is a generative statistical model that discovers latent topics in a collection of documents based on the probabilistic distribution of words, often used in natural language processing and information retrieval tasks."
Correlated Topic Model (CTM),"CTM (Correlated Topic Model) is a probabilistic model used for topic modeling, capable of capturing correlations between topics within a collection of documents."
Hierarchical Dirichlet Process (HDP),"HDP (Hierarchical Dirichlet Process) is a nonparametric Bayesian model used for clustering and topic modeling, capable of automatically inferring the number of clusters or topics based on the data."
Dirichlet Process Mixture Model (DPMM),"DPMM (Dirichlet Process Mixture Model) is a Bayesian model that allows for an infinite number of clusters in a mixture model, enabling automatic cluster discovery without the need for specifying the number of clusters in advance."
Formal Concept Analysis (FCA),"FCA (Formal Concept Analysis) is a mathematical framework used for knowledge representation and data analysis, based on the concepts of formal contexts and concept lattices."
Concept Lattice,"Concept lattice is a lattice structure that represents the relationships between formal concepts in formal concept analysis, providing a way to organize and visualize the hierarchical structure of concepts and their relationships."
Weighted KNN,"Weighted k-NN (k-Nearest Neighbors) is a variation of the k-NN algorithm where the contribution of each neighbor in the classification or regression process is weighted based on their proximity to the query instance, allowing closer neighbors to have a stronger influence on the prediction."
Deep Learning for Code Clones (DLC),"Deep Learning for Code Clones (DLC) is a machine learning method that utilizes neural networks to detect and analyze similarities between sections of code, aiding in the identification of code clones."
Harmony Search Algorithm (HSO),"Harmony Search Algorithm (HSO) is a metaheuristic optimization algorithm inspired by the musical improvisation process, where a set of solution candidates iteratively adjusts their values to find the optimal solution."
Firefly Optimization Algorithm (FFO),"Firefly Optimization Algorithm (FFO) is a swarm intelligence algorithm that imitates the flashing behavior of fireflies to optimize solutions, with brighter fireflies attracting others and spreading their characteristics throughout the population."
Adaptive Crow Search Algorithm (ACSA),"Adaptive Crow Search Algorithm is an optimization technique inspired by the intelligent foraging behavior of crows, incorporating adaptive mechanisms to balance exploration and exploitation for finding optimal solutions."
Schuld-Sinayskiy-Petruccione (SSP),"Schuld-Sinayskiy-Petruccione (SSP) is a framework that combines machine learning with quantum physics, aiming to develop quantum algorithms for solving problems in various domains."
Quantum Nearest Neighbours,Quantum Nearest Neighbors is a machine learning method that utilizes quantum computing principles to perform classification or regression tasks by finding the closest neighbors in a high-dimensional feature space.
Ruan-Xue-Liu-Tan-Li (RXLTL),"In this algorithm we are provided with a Hamming distance threshold value t. The RXLTL–NN algorithm finds all of the training vectors for which the Hamming distance from the testvector is at most t, then it assigns the most frequent class among the chosen set of training vectors to the test vector."
Extremely Randomized Trees,"Extremely Randomized Trees (ERT) is an ensemble learning method that combines the concept of random forests with additional randomness in the selection of feature subsets and splitting thresholds, resulting in improved diversity and robustness of the model's predictions."
Cost-Sensitive Decision Table (CSDT),"Cost Sensitive Decision Table (CSDT) is a machine learning method that takes into account the costs associated with different classification decisions, allowing for more accurate and cost-effective decision-making."
Rule Set Induction (RSI),"Ruled Set Induction (RSI) is a machine learning technique that aims to induce a set of if-then rules from data, enabling the generation of interpretable and understandable models."
Predictive Search Distribution (PSD),"Predictive Search Distribution (PSD) is a method that combines search and machine learning, where a probabilistic model is used to guide the search process towards promising solutions, improving efficiency and effectiveness."
Greedy Algorithm,"Greedy Algorithm is an approach in which decisions are made by choosing the locally optimal solution at each step, without considering the global optimal solution, resulting in an efficient but not always optimal solution."
Hill Climbing,"Hill Climbing is a local search algorithm that iteratively explores neighboring solutions, moving towards higher-valued solutions in the search space, but can get stuck in local optima and may not reach the global optimum."
Parallel Rank Ordering (PRO),"Parallel Rank Ordering (PRO) is a technique that ranks instances in parallel based on their similarity to a reference set, often used in recommendation systems and collaborative filtering."
Non-Nested Generalized Estimation (Nnge),"Nnge stands for ""Nearest Neighbor Gaussian Embedding,"" which is a dimensionality reduction method that combines the strengths of nearest neighbor and Gaussian embedding techniques for preserving both local and global structure in the data."
IBk,Ibk is an instance-based learning algorithm (K-nearest neighbors) that classifies new instances based on their similarity to existing instances in the training data.
Dispatch Tables,"Dispatch Tables are data structures used in programming and machine learning to map input values to corresponding functions or actions efficiently, providing a mechanism for dynamic decision-making."
Decision Diagrams,"Decision Diagrams are graphical representations of logical or probabilistic decision-making processes, often used for efficient representation and manipulation of large decision spaces in machine learning and artificial intelligence."
Siamese LSTM,Siamese LSTM is a variant of the long short-term memory (LSTM) neural network architecture that uses two parallel LSTM networks with shared weights to learn similarity or dissimilarity between pairs of sequential data.
Siamese Two-Way LSTM,"Siamese two-way LSTM is an extension of the Siamese LSTM that incorporates bidirectional processing, allowing the network to consider the context both before and after each element in the sequence when learning similarity or dissimilarity."
Universal Sentence Encoder (USE),"USE (Universal Sentence Encoder) is a pre-trained deep learning model developed by Google that encodes sentences into fixed-dimensional vectors, enabling semantic similarity and text understanding tasks without requiring extensive training on specific domains or tasks."
CatBoost,"CatBoost is a gradient boosting algorithm that is particularly effective for handling categorical features in machine learning tasks, as it employs innovative strategies such as target encoding and ordered boosting to optimize performance and handle high-cardinality categorical variables."
Ensemble Tree,"Ensemble tree is a machine learning technique that combines multiple decision trees to improve predictive performance, where each tree in the ensemble contributes to the final prediction through voting, averaging, or weighted averaging methods."
Lasso,"Lasso, also known as Least Absolute Shrinkage and Selection Operator, is a regularization technique used in linear regression and machine learning to perform feature selection and mitigate overfitting by adding a penalty term based on the absolute values of the coefficients."
General Bayesian Network (GBN),"General Bayesian Network (GBN) is a probabilistic graphical model that represents the dependencies between random variables using a directed acyclic graph, allowing for efficient inference and reasoning under uncertainty."
VoxCNN,"VoxCNN is a convolutional neural network architecture designed for 3D volumetric data, commonly used in tasks such as medical image analysis, where the network's convolutional layers operate in three dimensions to capture spatial information."
J48 Graft,"J48 Graft is an extension of the J48 decision tree algorithm that improves its accuracy by applying the grafting technique, which selectively adds new branches to the decision tree based on the characteristics of the data."
Decorate,"Decorate is a meta-learning algorithm that enhances the performance of a base classifier by generating and incorporating additional classifiers that focus on specific subsets of the data, allowing for improved accuracy and diversity."
End-to-End,"END (Error-Correcting Output Codes using Nearest Neighbor Decoding) is a multi-class classification method that uses error-correcting codes to transform the problem into a set of binary classification tasks, employing nearest neighbor decoding for making predictions."
User Classifier,"User classifier refers to a machine learning model that is created and customized by an individual user for their specific needs or preferences, allowing for personalized predictions or decision-making based on their input and feedback."
DNN with Trust,"DNN with trust refers to a Deep Neural Network (DNN) architecture that incorporates mechanisms or techniques to enhance the trustworthiness of the model's predictions, such as uncertainty estimation, explainability methods, or robustness measures, providing users with more confidence and transparency in the model's outputs."
Bayesian Coresets,"Bayesian Coresets is a method that aims to approximate large datasets by selecting a smaller subset of representative points, enabling efficient Bayesian inference with reduced computational complexity while maintaining the accuracy and uncertainty estimation capabilities of the original model."
XLNet,XLNet is a pre-trained language model that combines ideas from autoregressive and autoencoding approaches to leverage both context and bidirectionality for better language understanding.
Transformer-Based Natural Language Generation (T-NLG),T-NLG (Text-to-Text Transfer Transformer) is a versatile transformer-based model capable of performing various natural language processing tasks by encoding inputs and decoding outputs in a unified manner.
CLIP,"CLIP (Contrastive Language-Image Pretraining) is a model that learns to associate images and their textual descriptions by maximizing similarity scores across paired examples, enabling zero-shot image classification."
Vision Transformer (ViT),"ViT (Vision Transformer) is a transformer-based model designed for image classification tasks, which processes images as sequences of patches and leverages self-attention mechanisms for capturing global dependencies."
DALL-E,"DALL-E is a generative model capable of generating diverse and coherent images from textual descriptions, demonstrating a high level of understanding of both visual and textual domains."
Vector Quantized Variational Autoencoder 2 (VQ-VAE-2),"VQ-VAE-2 (Vector Quantized Variational Autoencoder 2) is an autoencoder architecture that employs vector quantization to discretize latent representations, enabling efficient and high-quality image generation."
Multimodal Bipartite Transformer (MMBT),"MMBT (Multimodal BERT) is a model that extends BERT to handle multimodal inputs by jointly encoding textual and visual information, enabling tasks such as image-text classification."
CLIPBERT,"CLIPBERT is a fusion of CLIP and BERT models, combining image-text understanding capabilities of CLIP with the contextual language understanding of BERT."
VL-BERT,"VL-BERT is a model that incorporates visual and linguistic information to perform tasks such as visual question answering, leveraging cross-modal attention mechanisms."
Propensity Score Matching,"Propensity Score Matching is a statistical technique used in observational studies to estimate the effect of a treatment by matching treated and untreated units based on their propensity scores, which represent the likelihood of receiving treatment."
Instrumental Variables (IV),Instrumental Variables are used in causal inference to estimate causal effects by leveraging external factors that affect the treatment assignment but are unrelated to the outcome variable.
Difference-in-Differences (DiD),Difference-in-Differences is a quasi-experimental method used to estimate causal effects by comparing changes in outcomes over time between a treatment group and a control group.
Regression Discontinuity Design (RDD),RDD is a quasi-experimental design used to estimate causal effects by exploiting naturally occurring thresholds in the assignment of treatments.
Structural Equation Modeling (SEM),Structural Equation Modeling is a statistical technique used to test and estimate causal relationships among observed and latent variables in complex systems.
Double/Debiased Machine Learning (DML),Double/Debiased Machine Learning is a method used for estimating treatment effects in observational studies by debiasing machine learning estimators.
Causal Forests,Causal Forests are an ensemble learning method used for estimating causal effects by combining the flexibility of decision trees with the efficiency of random forests.
t-SNE,t-SNE (t-distributed Stochastic Neighbor Embedding) is a dimensionality reduction technique used for visualizing high-dimensional data in lower-dimensional spaces while preserving local and global structure.
UMAP,"UMAP (Uniform Manifold Approximation and Projection) is a dimensionality reduction technique similar to t-SNE but more scalable, which preserves both local and global structure of data."
Noise Contrastive Priors (NCP),Noise Contrastive Priors is a method used for training generative models by contrasting the model's predictions with noisy versions of the data.
Canonical Correlation Analysis (CCA),"CCA is a multivariate statistical technique used to analyze the correlation between two sets of variables, aiming to find linear combinations that maximize the correlation."
Mixture of Experts,"Mixture of Experts is an ensemble method where multiple models, known as experts, are combined using a gating network to handle different regions of the input space effectively."
Voting,"Voting is an ensemble method where multiple models make predictions, and the final prediction is determined by aggregating the individual predictions through a voting mechanism."
Majority Voting,Majority Voting is a simple ensemble method where the final prediction is determined by selecting the class predicted by the majority of base models.
